COD_DANE_MUNICIPIO,TOTAL_MATRICULA,DEPARTAMENTO,MUNICIPIO
88564,961,"ARCHIPIÉLAGO DE SAN ANDRES,PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA
5120,7943,ANTIOQUIA,CÁCERES
54051,1817,NORTE DE SANTANDER,ARBOLEDAS
5809,1404,ANTIOQUIA,TITIRIBÍ
91540,2087,AMAZONAS,PUERTO NARIÑO
68001,110135,SANTANDER,BUCARAMANGA
47605,1883,MAGDALENA,REMOLINO
17446,373,CALDAS,MARULANDA
91407,978,AMAZONAS,LA PEDRERA
15879,413,BOYACÁ,VIRACACHÁ
52083,972,NARIÑO,BELÉN
25777,1007,CUNDINAMARCA,SUPATÁ
25805,966,CUNDINAMARCA,TIBACUY
19824,4395,CAUCA,TOTORÓ
5628,1805,ANTIOQUIA,SABANALARGA
13667,4883,BOLÍVAR,SAN MARTÍN DE LOBA
54347,569,NORTE DE SANTANDER,HERRÁN
15469,4281,BOYACÁ,MONIQUIRÁ
25797,1722,CUNDINAMARCA,TENA
54261,6632,NORTE DE SANTANDER,EL ZULIA
41206,1466,HUILA,COLOMBIA
5055,1458,ANTIOQUIA,ARGELIA
25486,3224,CUNDINAMARCA,NEMOCÓN
54128,2210,NORTE DE SANTANDER,CÁCHIRA
27075,3311,CHOCÓ,BAHÍA SOLANO(MUTIS)
41006,8051,HUILA,ACEVEDO
15212,606,BOYACÁ,COPER
68051,1772,SANTANDER,ARATOCA
15104,893,BOYACÁ,BOYACÁ
86760,1365,PUTUMAYO,SANTIAGO
41660,2636,HUILA,SALADOBLANCO
47258,4407,MAGDALENA,EL PIÑÓN
52250,8216,NARIÑO,EL CHARCO
13030,2650,BOLÍVAR,ALTOS DEL ROSARIO
25745,2775,CUNDINAMARCA,SIMIJACA
27073,3957,CHOCÓ,BAGADÓ
8433,27741,ATLÁNTICO,MALAMBO
5264,2143,ANTIOQUIA,ENTRERRÍOS
19517,9382,CAUCA,PÁEZ(BELALCAZAR)
52885,1677,NARIÑO,YACUANQUER
50689,5479,META,SAN MARTÍN
52352,1327,NARIÑO,ILES
15804,1599,BOYACÁ,TIBANÁ
19760,1889,CAUCA,SOTARÁ(PAISPAMBA)
18150,8691,CAQUETÁ,CARTAGENA DEL CHAIRÁ
5543,1667,ANTIOQUIA,PEQUE
44874,6604,GUAJIRA,VILLANUEVA
25120,984,CUNDINAMARCA,CABRERA
5154,23502,ANTIOQUIA,CAUCASIA
52685,1238,NARIÑO,SAN BERNARDO
5138,3340,ANTIOQUIA,CAÑASGORDAS
5209,4139,ANTIOQUIA,CONCORDIA
54418,774,NORTE DE SANTANDER,LOURDES
50245,493,META,EL CALVARIO
52203,1381,NARIÑO,COLÓN(GENOVA)
73236,1685,TOLIMA,DOLORES
15180,693,BOYACÁ,CHISCAS
52786,3020,NARIÑO,TAMINANGO
95001,15418,GUAVIARE,SAN JOSÉ DEL GUAVIARE
19698,23147,CAUCA,SANTANDER DE QUILICHAO
19392,2457,CAUCA,LA SIERRA
27745,937,CHOCÓ,SIPÍ
94663,281,GUAINÍA,MAPIRIPANA
41298,17564,HUILA,GARZÓN
68418,2641,SANTANDER,LOS SANTOS
73168,11898,TOLIMA,CHAPARRAL
5040,4671,ANTIOQUIA,ANORÍ
25489,591,CUNDINAMARCA,NIMAIMA
15897,898,BOYACÁ,ZETAQUIRA
52687,3076,NARIÑO,SAN LORENZO
5004,449,ANTIOQUIA,ABRIAQUÍ
15114,135,BOYACÁ,BUSBANZÁ
70221,4232,SUCRE,COVEÑAS
54239,910,NORTE DE SANTANDER,DURANIA
95025,3305,GUAVIARE,EL RETORNO
15638,983,BOYACÁ,SÁCHICA
25473,28173,CUNDINAMARCA,MOSQUERA
15185,1023,BOYACÁ,CHITARAQUE
13760,1901,BOLÍVAR,SOPLAVIENTO
17174,9222,CALDAS,CHINCHINÁ
25293,844,CUNDINAMARCA,GACHALÁ
47570,7432,MAGDALENA,PUEBLOVIEJO
52835,51694,NARIÑO,SAN ANDRES DE TUMACO
15001,40055,BOYACÁ,TUNJA
25299,583,CUNDINAMARCA,GAMA
15299,3076,BOYACÁ,GARAGOA
20310,911,CESAR,GONZÁLEZ
76318,6015,VALLE DEL CAUCA,GUACARÍ
97161,744,VAUPÉS,CARURU
68079,1529,SANTANDER,BARICHARA
66400,5948,RISARALDA,LA VIRGINIA
52411,1462,NARIÑO,LINARES
19418,6022,CAUCA,LÓPEZ(MICAY)
73870,1856,TOLIMA,VILLAHERMOSA
15317,277,BOYACÁ,GUACAMAYAS
5282,3760,ANTIOQUIA,FREDONIA
5858,3083,ANTIOQUIA,VEGACHÍ
18753,14513,CAQUETÁ,SAN VICENTE DEL CAGUÁN
25530,2295,CUNDINAMARCA,PARATEBUENO
20517,4416,CESAR,PAILITAS
68264,372,SANTANDER,ENCINO
68276,50570,SANTANDER,FLORIDABLANCA
50124,1351,META,CABUYARO
8296,12255,ATLÁNTICO,GALAPA
50001,119917,META,VILLAVICENCIO
47189,30954,MAGDALENA,CIÉNAGA
41483,1603,HUILA,NÁTAGA
5667,2239,ANTIOQUIA,SAN RAFAEL
76834,39523,VALLE DEL CAUCA,TULUÁ
52621,4102,NARIÑO,ROBERTO PAYÁN(SAN JOSÉ)
41668,6836,HUILA,SAN AGUSTÍN
54313,1179,NORTE DE SANTANDER,GRAMALOTE
25260,5484,CUNDINAMARCA,EL ROSAL
19130,7622,CAUCA,CAJIBÍO
68861,3846,SANTANDER,VÉLEZ
27800,4150,CHOCÓ,UNGUÍA
50568,12231,META,PUERTO GAITÁN
17616,2030,CALDAS,RISARALDA
85279,208,CASANARE,RECETOR
68673,439,SANTANDER,SAN BENITO
5021,881,ANTIOQUIA,ALEJANDRÍA
76616,2935,VALLE DEL CAUCA,RIOFRÍO
76377,2518,VALLE DEL CAUCA,LA CUMBRE
5107,1884,ANTIOQUIA,BRICEÑO
52260,2176,NARIÑO,EL TAMBO
23182,11301,CÓRDOBA,CHINU
5086,1621,ANTIOQUIA,BELMIRA
73624,5617,TOLIMA,ROVIRA
68669,1725,SANTANDER,SAN ANDRÉS
68573,1815,SANTANDER,PUERTO PARRA
41872,1398,HUILA,VILLAVIEJA
25123,1747,CUNDINAMARCA,CACHIPAY
19780,4715,CAUCA,SUÁREZ
25718,2272,CUNDINAMARCA,SASAIMA
27372,1422,CHOCÓ,JURADÓ
18592,6522,CAQUETÁ,PUERTO RICO
15861,3212,BOYACÁ,VENTAQUEMADA
44110,1573,GUAJIRA,EL MOLINO
68444,1325,SANTANDER,MATANZA
47170,5895,MAGDALENA,CHIVOLO
68209,528,SANTANDER,CONFINES
47745,6990,MAGDALENA,SITIONUEVO
70713,14498,SUCRE,SAN ONOFRE
68524,528,SANTANDER,PALMAS DEL SOCORRO
27135,1649,CHOCÓ,CANTÓN DEL SAN PABLO
8436,4478,ATLÁNTICO,MANATÍ
50325,1788,META,MAPIRIPÁN
70110,2378,SUCRE,BUENAVISTA
27006,3660,CHOCÓ,ACANDÍ
13490,2190,BOLÍVAR,NOROSÍ
68298,794,SANTANDER,GAMBITA
76823,2568,VALLE DEL CAUCA,TORO
41524,6742,HUILA,PALERMO
52683,3189,NARIÑO,SANDONÁ
70235,5530,SUCRE,GALERAS(NUEVA GRANADA)
19290,1115,CAUCA,FLORENCIA
41503,2723,HUILA,OPORAPA
15187,492,BOYACÁ,CHIVATÁ
76863,1185,VALLE DEL CAUCA,VERSALLES
52699,1469,NARIÑO,SANTACRUZ(GUACHAVES)
54405,16223,NORTE DE SANTANDER,LOS PATIOS
68266,742,SANTANDER,ENCISO
50350,4672,META,LA MACARENA
18479,863,CAQUETÁ,MORELIA
13188,3916,BOLÍVAR,CICUCO
66456,3795,RISARALDA,MISTRATÓ
85136,272,CASANARE,LA SALINA
20400,12430,CESAR,LA JAGUA DE IBIRICO
99001,5443,VICHADA,PUERTO CARREÑO
25339,674,CUNDINAMARCA,GUTIÉRREZ
15580,1009,BOYACÁ,QUÍPAMA
18460,2340,CAQUETÁ,MILÁN
15380,392,BOYACÁ,LA CAPILLA
13650,2700,BOLÍVAR,SAN FERNANDO
5030,4797,ANTIOQUIA,AMAGÁ
50683,1566,META,SAN JUAN DE ARAMA
44378,5057,GUAJIRA,HATONUEVO
19622,2304,CAUCA,ROSAS
47058,9184,MAGDALENA,ARIGUANÍ(EL DIFICIL)
15226,310,BOYACÁ,CUÍTIVA
25807,422,CUNDINAMARCA,TIBIRITA
19110,6152,CAUCA,BUENOS AIRES
76869,1927,VALLE DEL CAUCA,VIJES
25368,452,CUNDINAMARCA,JERUSALÉN
23855,9721,CÓRDOBA,VALENCIA
25506,945,CUNDINAMARCA,VENECIA(OSPINA PEREZ)
19050,6512,CAUCA,ARGELIA
54250,6207,NORTE DE SANTANDER,EL TARRA
15176,13113,BOYACÁ,CHIQUINQUIRÁ
20710,5665,CESAR,SAN ALBERTO
5091,1686,ANTIOQUIA,BETANIA
52418,1825,NARIÑO,LOS ANDES(SOTOMAYOR)
19532,7466,CAUCA,PATÍA(EL BORDO)
63470,6808,QUINDIO,MONTENEGRO
54377,1121,NORTE DE SANTANDER,LABATECA
15322,1937,BOYACÁ,GUATEQUE
76243,1707,VALLE DEL CAUCA,EL ÁGUILA
13052,18415,BOLÍVAR,ARJONA
13549,6968,BOLÍVAR,PINILLOS
73622,1165,TOLIMA,RONCESVALLES
27615,11543,CHOCÓ,RIOSUCIO
23660,26680,CÓRDOBA,SAHAGÚN
5642,3156,ANTIOQUIA,SALGAR
97889,302,VAUPÉS,YAVARATÉ
52399,5494,NARIÑO,LA UNION
25653,1019,CUNDINAMARCA,SAN CAYETANO
52356,26406,NARIÑO,IPIALES
23580,11160,CÓRDOBA,PUERTO LIBERTADOR
18785,1569,CAQUETÁ,SOLITA
73504,6627,TOLIMA,ORTEGA
23068,13650,CÓRDOBA,AYAPEL
13673,4085,BOLÍVAR,SANTA CATALINA
25297,1681,CUNDINAMARCA,GACHETÁ
25885,2535,CUNDINAMARCA,YACOPÍ
15087,1664,BOYACÁ,BELÉN
54099,1576,NORTE DE SANTANDER,BOCHALEMA
5197,3357,ANTIOQUIA,COCORNÁ
13836,22576,BOLÍVAR,TURBACO
25878,2952,CUNDINAMARCA,VIOTÁ
73520,1788,TOLIMA,PALOCABILDO
5250,15532,ANTIOQUIA,EL BAGRE
19701,1038,CAUCA,SANTA ROSA
50680,2883,META,SAN CARLOS DE GUAROA
19473,7614,CAUCA,MORALES
68502,697,SANTANDER,ONZAGA
17873,10377,CALDAS,VILLAMARÍA
20570,6675,CESAR,PUEBLO BELLO
23090,4649,CÓRDOBA,CANALETE
23419,4560,CÓRDOBA,LOS CÓRDOBAS
70508,5958,SUCRE,OVEJAS
25372,950,CUNDINAMARCA,JUNÍN
20175,10376,CESAR,CHIMICHAGUA
25845,1222,CUNDINAMARCA,UNE
5579,8230,ANTIOQUIA,PUERTO BERRÍO
5652,1280,ANTIOQUIA,SAN FRANCISCO
15522,386,BOYACÁ,PANQUEBA
5411,2009,ANTIOQUIA,LIBORINA
13580,1514,BOLÍVAR,REGIDOR
20228,9575,CESAR,CURUMANÍ
8549,1180,ATLÁNTICO,PIOJÓ
25518,769,CUNDINAMARCA,PAIME
73148,2085,TOLIMA,CARMEN DE APICALA
68705,382,SANTANDER,SANTA BÁRBARA
13430,33351,BOLÍVAR,MAGANGUÉ
5854,3150,ANTIOQUIA,VALDIVIA
23464,3557,CÓRDOBA,MOMIL
73200,1588,TOLIMA,COELLO
68160,450,SANTANDER,CEPITÁ
41357,2365,HUILA,IQUIRA
25799,7606,CUNDINAMARCA,TENJO
5172,16365,ANTIOQUIA,CHIGORODÓ
8770,2691,ATLÁNTICO,SUAN
5856,978,ANTIOQUIA,VALPARAÍSO
52354,1075,NARIÑO,IMUÉS
86001,11992,PUTUMAYO,MOCOA
47675,2223,MAGDALENA,SALAMINA
85300,664,CASANARE,SABANALARGA
5051,9588,ANTIOQUIA,ARBOLETES
85139,3526,CASANARE,MANÍ
13810,6299,BOLÍVAR,TIQUISIO(PUERTO RICO)
15755,1644,BOYACÁ,SOCOTÁ
5364,2635,ANTIOQUIA,JARDÍN
52233,1603,NARIÑO,CUMBITARA
13300,3566,BOLÍVAR,HATILLO DE LOBA
23807,28285,CÓRDOBA,TIERRALTA
