COD_DANE_MUNICIPIO,TOTAL_MATRICULA,DEPARTAMENTO,MUNICIPIO
5736,9181,ANTIOQUIA,SEGOVIA
13838,3645,BOLÍVAR,TURBANÁ
76036,3215,VALLE DEL CAUCA,ANDALUCÍA
25867,686,CUNDINAMARCA,VIANÍ
52694,991,NARIÑO,SAN PEDRO DE CARTAGO
73152,1115,TOLIMA,CASABIANCA
73585,4769,TOLIMA,PURIFICACIÓN
5360,42744,ANTIOQUIA,ITAGÜÍ
13042,2140,BOLÍVAR,ARENAL
27205,3636,CHOCÓ,CONDOTO
19142,7825,CAUCA,CALOTO
52001,76006,NARIÑO,PASTO
52110,3811,NARIÑO,BUESACO
25815,2591,CUNDINAMARCA,TOCAIMA
20045,6646,CESAR,BECERRIL
76250,1821,VALLE DEL CAUCA,EL DOVIO
15664,806,BOYACÁ,SAN JOSÉ DE PARE
68235,3384,SANTANDER,EL CARMEN DE  CHUCIRÍ
52240,2574,NARIÑO,CHACHAGÜÍ
15686,1451,BOYACÁ,SANTANA
52079,11978,NARIÑO,BARBACOAS
25286,20628,CUNDINAMARCA,FUNZA
15599,2138,BOYACÁ,RAMIRIQUÍ
68020,680,SANTANDER,ALBANIA
73124,3819,TOLIMA,CAJAMARCA
13620,1765,BOLÍVAR,SAN CRISTÓBAL
68229,2244,SANTANDER,CURITÍ
91530,162,AMAZONAS,PUERTO ALEGRÍA
70771,5857,SUCRE,SUCRE
15806,2272,BOYACÁ,TIBASOSA
50223,1371,META,SAN LUIS DE CUBARRAL
15814,2077,BOYACÁ,TOCA
5585,2714,ANTIOQUIA,PTO NARE(LA MAGDALENA)
73461,794,TOLIMA,MURILLO
94886,298,GUAINÍA,CACAHUAL
15531,1460,BOYACÁ,PAUNA
8573,16077,ATLÁNTICO,PUERTO COLOMBIA
11001,1312216,"CAPITAL BOGOTÁ, D.C.","BOGOTÁ, D.C."
5142,657,ANTIOQUIA,CARACOLÍ
15763,1487,BOYACÁ,SOTAQUIRÁ
85315,291,CASANARE,SÁCAMA
19137,9526,CAUCA,CALDONO
25662,1768,CUNDINAMARCA,SAN JUAN DE RÍO SECO
17495,1441,CALDAS,NORCASIA
25769,4251,CUNDINAMARCA,SUBACHOQUE
15425,656,BOYACÁ,MACANAL
25513,5231,CUNDINAMARCA,PACHO
54245,3150,NORTE DE SANTANDER,EL CARMEN
68397,679,SANTANDER,LA PAZ
19075,3932,CAUCA,BALBOA
50150,3285,META,CASTILLA LA NUEVA
52317,2791,NARIÑO,GUACHUCAL
25580,548,CUNDINAMARCA,PULÍ
5368,2121,ANTIOQUIA,JERICÓ
23300,3433,CÓRDOBA,COTORRA
5664,5487,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS
15660,343,BOYACÁ,SAN EDUARDO
15778,511,BOYACÁ,SUTATENZA
5093,3736,ANTIOQUIA,BETULIA
15332,829,BOYACÁ,GÜICÁN
25817,9569,CUNDINAMARCA,TOCANCIPÁ
44279,11988,GUAJIRA,FONSECA
5576,1548,ANTIOQUIA,PUEBLORRICO
19548,8170,CAUCA,PIENDAMÓ
5101,5148,ANTIOQUIA,BOLÍVAR
50226,5362,META,CUMARAL
23001,109808,CÓRDOBA,MONTERÍA
63401,6111,QUINDIO,LA TEBAIDA
15092,274,BOYACÁ,BETÉITIVA
85440,7746,CASANARE,VILLANUEVA
76364,28766,VALLE DEL CAUCA,JAMUNDÍ
68132,389,SANTANDER,CALIFORNIA
25126,15590,CUNDINAMARCA,CAJICÁ
25873,4609,CUNDINAMARCA,VILLAPINZÓN
27050,1620,CHOCÓ,ATRATO
25862,1061,CUNDINAMARCA,VERGARA
8421,6351,ATLÁNTICO,LURUACO
68179,664,SANTANDER,CHIPATÁ
52036,1151,NARIÑO,ANCUYÁ
81001,22189,ARAUCA,ARAUCA
73408,3607,TOLIMA,LÉRIDA
17442,1783,CALDAS,MARMATO
5483,1772,ANTIOQUIA,NARIÑO
15131,526,BOYACÁ,CALDAS
5376,11420,ANTIOQUIA,LA CEJA
15810,649,BOYACÁ,TIPACOQUE
15109,869,BOYACÁ,BUENAVISTA
5890,4187,ANTIOQUIA,YOLOMBÓ
15600,1272,BOYACÁ,RÁQUIRA
13074,5101,BOLÍVAR,BARRANCO DE LOBA
68162,1576,SANTANDER,CERRITO
68207,1114,SANTANDER,CONCEPCIÓN
15455,1527,BOYACÁ,MIRAFLORES
68190,7795,SANTANDER,CIMITARRA
5034,8193,ANTIOQUIA,ANDES
15776,1067,BOYACÁ,SUTAMARCHÁN
41799,2534,HUILA,TELLO
13062,2094,BOLÍVAR,ARROYOHONDO
25785,4432,CUNDINAMARCA,TABIO
68464,2346,SANTANDER,MOGOTES
18001,45150,CAQUETÁ,FLORENCIA
25086,409,CUNDINAMARCA,BELTRÁN
47798,4560,MAGDALENA,TENERIFE
52696,2875,NARIÑO,SANTA BÁRBARA(ISCUANDE)
54385,3216,NORTE DE SANTANDER,LA ESPERANZA
15377,553,BOYACÁ,LABRANZAGRANDE
17486,3984,CALDAS,NEIRA
20032,5718,CESAR,ASTREA
85250,9263,CASANARE,PAZ DE ARIPORO
50573,8500,META,PUERTO LÓPEZ
17088,1999,CALDAS,BELALCÁZAR
76100,2900,VALLE DEL CAUCA,BOLÍVAR
68324,446,SANTANDER,GUAVATÁ
76736,6746,VALLE DEL CAUCA,SEVILLA
44090,7862,GUAJIRA,DIBULLA
70233,2401,SUCRE,EL ROBLE
52678,4687,NARIÑO,SAMANIEGO
5380,15010,ANTIOQUIA,LA ESTRELLA
91001,15281,AMAZONAS,LETICIA
27450,2715,CHOCÓ,MEDIO SAN JUAN
99773,11714,VICHADA,CUMARIBO
41770,5307,HUILA,SUAZA
54743,1428,NORTE DE SANTANDER,SILOS
5631,11701,ANTIOQUIA,SABANETA
5649,3780,ANTIOQUIA,SAN CARLOS
5400,4112,ANTIOQUIA,LA UNIÓN
41396,15114,HUILA,LA PLATA
25258,831,CUNDINAMARCA,EL PEÑÓN
27099,4989,CHOCÓ,BOJAYÁ(BELLAVISTA)
15236,385,BOYACÁ,CHIVOR
52019,1462,NARIÑO,ALBÁN(SAN JOSE)
73563,1808,TOLIMA,PRADO
15774,378,BOYACÁ,SUSACÓN
25430,22083,CUNDINAMARCA,MADRID
70702,2871,SUCRE,SAN JUAN DE BETULIA
23686,8501,CÓRDOBA,SAN PELAYO
68320,974,SANTANDER,GUADALUPE
73547,988,TOLIMA,PIEDRAS
15507,1540,BOYACÁ,OTANCHE
23586,3817,CÓRDOBA,PURÍSIMA
15491,3197,BOYACÁ,NOBSA
52520,2042,NARIÑO,FRANCISCO PIZARRO
13248,1618,BOLÍVAR,EL GUAMO
73268,16143,TOLIMA,ESPINAL
41676,2352,HUILA,SANTA MARÍA
70400,3105,SUCRE,LA UNIÓN
19807,6556,CAUCA,TIMBÍO
25312,1689,CUNDINAMARCA,GRANADA
15051,1181,BOYACÁ,ARCABUCO
13244,19610,BOLÍVAR,EL CARMEN DE BOLÍVAR
20383,3847,CESAR,LA GLORIA
13473,5340,BOLÍVAR,MORALES
19450,2956,CAUCA,MERCADERES
5887,9595,ANTIOQUIA,YARUMAL
68217,1017,SANTANDER,COROMORO
25524,996,CUNDINAMARCA,PANDI
25398,983,CUNDINAMARCA,LA PEÑA
17877,2328,CALDAS,VITERBO
18410,3907,CAQUETÁ,LA MONTAÑITA
8520,6440,ATLÁNTICO,PALMAR DE VARELA
15808,544,BOYACÁ,TINJACÁ
86568,17419,PUTUMAYO,PUERTO ASÍS
15464,887,BOYACÁ,MONGUA
25181,2364,CUNDINAMARCA,CHOACHÍ
19693,1366,CAUCA,SAN SEBASTIÁN
70523,3640,SUCRE,PALMITO
20011,25761,CESAR,AGUACHICA
68081,56626,SANTANDER,BARRANCABERMEJA
13140,7296,BOLÍVAR,CALAMAR
17042,5745,CALDAS,ANSERMA
68500,2208,SANTANDER,OIBA
54680,685,NORTE DE SANTANDER,SANTIAGO
54174,2421,NORTE DE SANTANDER,CHITAGÁ
23670,11996,CÓRDOBA,SAN ANDRÉS DE SOTAVENTO
76113,4249,VALLE DEL CAUCA,BUGALAGRANDE
18860,1567,CAQUETÁ,VALPARAÍSO
70204,2010,SUCRE,COLOSO
70429,10575,SUCRE,MAJAGUAL
25245,4751,CUNDINAMARCA,EL COLEGIO
50287,2699,META,FUENTE DE ORO
27250,4842,CHOCÓ,LITORAL DE SAN JUAN
19513,3390,CAUCA,PADILLA
52435,1639,NARIÑO,MALLAMA(PIEDRANCHA)
15476,1014,BOYACÁ,MOTAVITA
8001,270523,ATLÁNTICO,BARRANQUILLA
70820,8280,SUCRE,TOLÚ
13468,13140,BOLÍVAR,MOMPÓS
73675,3340,TOLIMA,SAN ANTONIO
15693,2114,BOYACÁ,SANTA ROSA DE VITERBO
5036,1275,ANTIOQUIA,ANGELÓPOLIS
23500,7029,CÓRDOBA,MOÑITOS
15494,1025,BOYACÁ,NUEVO COLÓN
15244,941,BOYACÁ,EL COCUY
5885,1382,ANTIOQUIA,YALÍ
17614,9240,CALDAS,RIOSUCIO
15097,1025,BOYACÁ,BOAVITA
68092,1273,SANTANDER,BETULIA
76020,2382,VALLE DEL CAUCA,ALCALA
66383,1326,RISARALDA,LA CELIA
5647,1404,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA
13440,2581,BOLÍVAR,MARGARITA
81300,5429,ARAUCA,FORTUL
76001,375976,VALLE DEL CAUCA,CALI
68468,701,SANTANDER,MOLAGAVITA
17665,1034,CALDAS,SAN JOSÉ
25781,1314,CUNDINAMARCA,SUTATAUSA
41132,6651,HUILA,CAMPOALEGRE
15189,1102,BOYACÁ,CIÉNEGA
27600,2853,CHOCÓ,RÍO QUITO
73030,1074,TOLIMA,AMBALEMA
44001,62354,GUAJIRA,RIOHACHA
76041,3413,VALLE DEL CAUCA,ANSERMANUEVO
25436,539,CUNDINAMARCA,MANTA
19001,62905,CAUCA,POPAYÁN
76130,17124,VALLE DEL CAUCA,CANDELARIA
5847,7044,ANTIOQUIA,URRAO
15798,568,BOYACÁ,TENZA
19355,7390,CAUCA,INZÁ
70215,16575,SUCRE,COROZAL
52320,1629,NARIÑO,GUAITARILLA
5150,678,ANTIOQUIA,CAROLINA
13657,8335,BOLÍVAR,SAN JUAN NEPOMUCENO
25281,1287,CUNDINAMARCA,FOSCA
8141,3597,ATLÁNTICO,CANDELARIA
52378,3258,NARIÑO,LA CRUZ
47545,4806,MAGDALENA,PIJIÑO DEL CARMEN
73024,797,TOLIMA,ALPUJARRA
5490,15662,ANTIOQUIA,NECOCLÍ
13006,6957,BOLÍVAR,ACHÍ
15325,484,BOYACÁ,GUAYATÁ
19212,5590,CAUCA,CORINTO
25154,1405,CUNDINAMARCA,CARMEN DE CARUPA
25288,1543,CUNDINAMARCA,FÚQUENE
99624,1043,VICHADA,SANTA ROSALÍA
76895,8012,VALLE DEL CAUCA,ZARZAL
86571,5657,PUTUMAYO,PUERTO GUZMÁN
41518,1361,HUILA,PAICOL
52405,1789,NARIÑO,LEIVA
47460,6173,MAGDALENA,NUEVA GRANADA
13268,2236,BOLÍVAR,EL PEÑÓN
15407,3413,BOYACÁ,VILLA DE LEYVA
15550,356,BOYACÁ,PISBA
68322,417,SANTANDER,GUAPOTÁ
5190,1546,ANTIOQUIA,CISNEROS
85010,8368,CASANARE,AGUAZUL
54001,167529,NORTE DE SANTANDER,CUCUTA
52224,1210,NARIÑO,CUASPUD(CARLOSAMA)
23678,6231,CÓRDOBA,SAN CARLOS
54480,824,NORTE DE SANTANDER,MUTISCUA
70678,6907,SUCRE,SAN BENITO ABAD
15720,400,BOYACÁ,SATIVANORTE
15215,431,BOYACÁ,CORRALES
20550,5357,CESAR,PELAYA
20443,2824,CESAR,MANAURE BALCON DL CESAR
20787,4579,CESAR,TAMALAMEQUE
70742,6887,SUCRE,SAN LUIS DE SINCÉ
5129,12990,ANTIOQUIA,CALDAS
15296,986,BOYACÁ,GÁMEZA
13001,242127,BOLÍVAR,CARTAGENA
5541,3554,ANTIOQUIA,PEÑOL
23815,10977,CÓRDOBA,TUCHÍN
68370,285,SANTANDER,JORDAN
17380,14006,CALDAS,LA DORADA
50577,1790,META,PUERTO LLERAS
66687,2364,RISARALDA,SANTUARIO
99524,2622,VICHADA,LA PRIMAVERA
15690,716,BOYACÁ,SANTA MARÍA
25743,4257,CUNDINAMARCA,SILVANIA
25148,2174,CUNDINAMARCA,CAPARRAPÍ
20250,12049,CESAR,EL PASO
76403,2151,VALLE DEL CAUCA,LA VICTORIA
54223,1607,NORTE DE SANTANDER,CUCUTILLA
25168,512,CUNDINAMARCA,CHAGUANÍ
25779,1055,CUNDINAMARCA,SUSA
68307,32587,SANTANDER,GIRÓN
23682,3606,CÓRDOBA,SAN JOSÉ DE URÉ
15238,27027,BOYACÁ,DUITAMA
52254,997,NARIÑO,EL PEÑOL
54599,1194,NORTE DE SANTANDER,RAGONVALIA
5686,8828,ANTIOQUIA,SANTA ROSA DE OSOS
68533,912,SANTANDER,PÁRAMO
5425,1846,ANTIOQUIA,MACEO
52565,765,NARIÑO,PROVIDENCIA
18756,2617,CAQUETÁ,SOLANO
25793,1852,CUNDINAMARCA,TAUSA
5674,3288,ANTIOQUIA,SAN VICENTE FERRER
47053,10346,MAGDALENA,ARACATACA
94885,63,GUAINÍA,LA GUADALUPE
15442,1043,BOYACÁ,MARIPÍ
63690,2556,QUINDIO,SALENTO
85162,3749,CASANARE,MONTERREY
52573,1722,NARIÑO,PUERRES
17444,2643,CALDAS,MARQUETALIA
73349,4689,TOLIMA,HONDA
68327,850,SANTANDER,GÜEPSA
68296,612,SANTANDER,GALÁN
85015,418,CASANARE,CHÁMEZA
91263,404,AMAZONAS,EL ENCANTO
66170,35493,RISARALDA,DOS QUEBRADAS
17433,3080,CALDAS,MANZANARES
41378,3113,HUILA,LA ARGENTINA
81736,13530,ARAUCA,SARAVENA
76126,3068,VALLE DEL CAUCA,EL DARIEN CALIMA
15842,1273,BOYACÁ,UMBITA
15839,403,BOYACÁ,TUTAZÁ
73001,110729,TOLIMA,IBAGUÉ
25426,1136,CUNDINAMARCA,MACHETÁ
41244,766,HUILA,ELÍAS
54810,17286,NORTE DE SANTANDER,TIBÚ
15761,478,BOYACÁ,SOMONDOCO
68271,1080,SANTANDER,FLORIÁN
5679,3710,ANTIOQUIA,SANTA BÁRBARA
5893,4433,ANTIOQUIA,YONDÓ(CASABE)
54344,2771,NORTE DE SANTANDER,HACARÍ
5148,10678,ANTIOQUIA,CARMEN DE VIBORAL
23417,27863,CÓRDOBA,LORICA
68406,8787,SANTANDER,LEBRIJA
25599,1269,CUNDINAMARCA,APULO - RAFAEL REYES
73443,7713,TOLIMA,SAN SEBASTIÁN DE MARIQUITA
52720,1036,NARIÑO,SAPUYES
47692,6665,MAGDALENA,SAN SEBASTÍAN DE BUENAVISTA
41078,1377,HUILA,BARAYA
5690,2884,ANTIOQUIA,SANTO DOMINGO
52560,2017,NARIÑO,POTOSÍ
50006,19819,META,ACACÍAS
66594,6080,RISARALDA,QUINCHÍA
25175,31121,CUNDINAMARCA,CHÍA
66682,13890,RISARALDA,SANTA ROSA DE CABAL
68318,1200,SANTANDER,GUACA
47551,10263,MAGDALENA,PIVIJAY
52287,977,NARIÑO,FUNES
25823,778,CUNDINAMARCA,TOPAIPÍ
5475,1289,ANTIOQUIA,MURINDÓ
19318,9255,CAUCA,GUAPI
54871,1004,NORTE DE SANTANDER,VILLA CARO
86749,3472,PUTUMAYO,SIBUNDOY
5038,2830,ANTIOQUIA,ANGOSTURA
15047,3472,BOYACÁ,AQUITANIA
68780,743,SANTANDER,SURATÁ
20178,7935,CESAR,CHIRIGUANÁ
25407,2140,CUNDINAMARCA,LENGUAZAQUE
76246,1105,VALLE DEL CAUCA,EL CAIRO
94884,460,GUAINÍA,PUERTO COLOMBIA
86865,7789,PUTUMAYO,VALLE GUAMUEZ-LAHORMIGA
91460,308,AMAZONAS,MIRITÍ-PARANÁ
41020,5198,HUILA,ALGECIRAS
68682,433,SANTANDER,SAN JOAQUÍN
13647,4010,BOLÍVAR,SAN ESTANISLAO
15673,662,BOYACÁ,SAN MATEO
63594,5355,QUINDIO,QUIMBAYA
23675,7924,CÓRDOBA,SAN BERNARDO DEL VIENTO
52022,1519,NARIÑO,ALDANA
25592,793,CUNDINAMARCA,QUEBRADANEGRA
41001,80579,HUILA,NEIVA
15232,807,BOYACÁ,CHIQUIZA
25649,1976,CUNDINAMARCA,SAN BERNARDO
73483,3297,TOLIMA,NATAGAIMA
25224,1615,CUNDINAMARCA,CUCUNUBÁ
41306,6048,HUILA,GIGANTE
73555,7281,TOLIMA,PLANADAS
8137,5472,ATLÁNTICO,CAMPO DE LA CRUZ
85325,1607,CASANARE,SAN LUIS DE PALENQUE
13222,3543,BOLÍVAR,CLEMENCIA
23350,3344,CÓRDOBA,LA APARTADA
25758,5652,CUNDINAMARCA,SOPÓ
17867,1852,CALDAS,VICTORIA
70001,70231,SUCRE,SINCELEJO
50590,2629,META,PUERTO RICO
25320,6148,CUNDINAMARCA,GUADUAS
86573,6315,PUTUMAYO,PUERTO LEGUÍZAMO
44078,8060,GUAJIRA,BARRANCAS
41797,2249,HUILA,TESALIA
25483,386,CUNDINAMARCA,NARIÑO
68176,473,SANTANDER,CHIMA
68689,6420,SANTANDER,SAN VICENTE DE CHUCURI
68152,873,SANTANDER,CARCASÍ
5147,13496,ANTIOQUIA,CAREPA
17541,3719,CALDAS,PENSILVANIA
63212,1047,QUINDIO,CÓRDOBA
25019,1096,CUNDINAMARCA,ALBÁN
47030,5206,MAGDALENA,ALGARROBO
81794,15567,ARAUCA,TAME
68522,252,SANTANDER,PALMAR
73854,1007,TOLIMA,VALLE DE SAN JUAN
52381,1435,NARIÑO,LA FLORIDA
73678,2593,TOLIMA,SAN LUIS
70823,5343,SUCRE,TOLU VIEJO
18029,957,CAQUETÁ,ALBANIA
50270,988,META,EL DORADO
68167,2568,SANTANDER,CHARALÁ
23672,7993,CÓRDOBA,SAN ANTERO
27160,1230,CHOCÓ,CERTEGÜI
52540,2451,NARIÑO,POLICARPA
41349,1537,HUILA,HOBO
76845,986,VALLE DEL CAUCA,ULLOA
20060,11307,CESAR,BOSCONIA
68867,298,SANTANDER,VETAS
27495,2438,CHOCÓ,NUQUÍ
94883,425,GUAINÍA,SAN FELIPE OBANDO
41807,4682,HUILA,TIMANÁ
44650,11851,GUAJIRA,SAN JUAN DEL CESAR
5353,1063,ANTIOQUIA,HISPANIA
76497,1864,VALLE DEL CAUCA,OBANDO
13212,4323,BOLÍVAR,CÓRDOBA
25295,3328,CUNDINAMARCA,GACHANCIPÁ
44098,2768,GUAJIRA,DISTRACCIÓN
5660,3046,ANTIOQUIA,SAN LUIS
41551,33822,HUILA,PITALITO
13458,3436,BOLÍVAR,MONTECRISTO
15822,1068,BOYACÁ,TOTA
73226,1872,TOLIMA,CUNDAY
5607,4453,ANTIOQUIA,RETIRO
68895,2117,SANTANDER,ZAPATOCA
25001,2306,CUNDINAMARCA,AGUA DE DIOS
17777,5196,CALDAS,SUPÍA
76563,9865,VALLE DEL CAUCA,PRADERA
73671,2821,TOLIMA,SALDAÑA
13894,3076,BOLÍVAR,ZAMBRANO
41615,5250,HUILA,RIVERA
5310,1581,ANTIOQUIA,GÓMEZ PLATA
15516,7275,BOYACÁ,PAIPA
97666,518,VAUPÉS,TARAIRA
81065,10200,ARAUCA,ARAUQUITA
5045,34539,ANTIOQUIA,APARTADÓ
52323,1124,NARIÑO,GUALMATÁN
52506,982,NARIÑO,OSPINA
70124,3201,SUCRE,CAIMITO
50110,1592,META,BARRANCA DE UPÍA
50251,1810,META,EL CASTILLO
50313,16857,META,GRANADA
15832,320,BOYACÁ,TUNUNGUÁ
15723,256,BOYACÁ,SATIVASUR
70717,4285,SUCRE,SAN PEDRO
85225,1856,CASANARE,NUNCHÍA
15401,200,BOYACÁ,LA VICTORIA
5306,1362,ANTIOQUIA,GIRALDO
81220,867,ARAUCA,CRAVO NORTE
27413,3893,CHOCÓ,LLORÓ
17013,3981,CALDAS,AGUADAS
5591,4344,ANTIOQUIA,PUERTO TRIUNFO
15403,525,BOYACÁ,LA UVITA
8685,4860,ATLÁNTICO,SANTO TOMÁS
50370,2334,META,LA URIBE
5761,3007,ANTIOQUIA,SOPETRÁN
76147,22378,VALLE DEL CAUCA,CARTAGO
66001,96748,RISARALDA,PEREIRA
68615,5838,SANTANDER,RIONEGRO
73616,5200,TOLIMA,RIOBLANCO
5318,7552,ANTIOQUIA,GUARNE
25035,2786,CUNDINAMARCA,ANAPOIMA
73275,5473,TOLIMA,FLANDES
15681,1339,BOYACÁ,SAN PABLO DE BORBUR
85263,2480,CASANARE,PORE
25898,814,CUNDINAMARCA,ZIPACÓN
66075,1185,RISARALDA,BALBOA
25307,20567,CUNDINAMARCA,GIRARDOT
5308,8548,ANTIOQUIA,GIRARDOTA
5697,7110,ANTIOQUIA,SANTUARIO
25214,14175,CUNDINAMARCA,COTA
15572,11466,BOYACÁ,PUERTO BOYACÁ
23574,5862,CÓRDOBA,PUERTO ESCONDIDO
15621,458,BOYACÁ,RONDÓN
5234,6464,ANTIOQUIA,DABEIBA
52385,943,NARIÑO,LA LLANADA
25053,2130,CUNDINAMARCA,ARBELÁEZ
44847,46085,GUAJIRA,URIBIA
54553,2275,NORTE DE SANTANDER,PUERTO SANTANDER
19573,10386,CAUCA,PUERTO TEJADA
13654,5686,BOLÍVAR,SAN JACINTO
18256,3411,CAQUETÁ,EL PAUJIL
86755,1013,PUTUMAYO,SAN FRANCISCO
25594,1625,CUNDINAMARCA,QUETAME
76670,2960,VALLE DEL CAUCA,SAN PEDRO
44560,29859,GUAJIRA,MANAURE
5145,733,ANTIOQUIA,CARAMANTA
15090,283,BOYACÁ,BERBEO
8675,2811,ATLÁNTICO,SANTA LUCÍA
66440,3311,RISARALDA,MARSELLA
70708,14768,SUCRE,SAN MARCOS
15276,558,BOYACÁ,FLORESTA
17524,3135,CALDAS,PALESTINA
5284,5304,ANTIOQUIA,FRONTINO
27150,4624,CHOCÓ,CARMEN DEL DARIÉN
25183,4508,CUNDINAMARCA,CHOCONTÁ
5873,2672,ANTIOQUIA,VIGÍA DEL FUERTE
25491,1246,CUNDINAMARCA,NOCAIMA
19455,7182,CAUCA,MIRANDA
68679,13537,SANTANDER,SAN GIL
97001,7040,VAUPÉS,MITÚ
13433,6832,BOLÍVAR,MAHATES
27810,1929,CHOCÓ,UNIÓN PANAMERICANA
15224,817,BOYACÁ,CUCAITA
52258,2394,NARIÑO,EL TABLON
5756,7174,ANTIOQUIA,SONSÓN
25841,1215,CUNDINAMARCA,UBAQUE
15223,1556,BOYACÁ,CUBARÁ
5895,9515,ANTIOQUIA,ZARAGOZA
15135,506,BOYACÁ,CAMPOHERMOSO
76306,4349,VALLE DEL CAUCA,GINEBRA
68121,304,SANTANDER,CABRERA
70473,3275,SUCRE,MORROA
27425,2086,CHOCÓ,MEDIO ATRATO
5665,9265,ANTIOQUIA,SAN PEDRO DE URABÁ
68377,1325,SANTANDER,LA BELLEZA
47541,2315,MAGDALENA,PEDRAZA
19845,3745,CAUCA,VILLA RICA
17272,1643,CALDAS,FILADELFIA
54720,5944,NORTE DE SANTANDER,SARDINATA
68547,34954,SANTANDER,PIEDECUESTA
25322,3330,CUNDINAMARCA,GUASCA
15466,980,BOYACÁ,MONGUÍ
13655,2577,BOLÍVAR,SAN JACINTO DEL CAUCA
52210,819,NARIÑO,CONTADERO
94888,194,GUAINÍA,MORICHAL NUEVO
5670,4120,ANTIOQUIA,SAN ROQUE
66045,2115,RISARALDA,APÍA
76054,1031,VALLE DEL CAUCA,ARGELIA
19022,3512,CAUCA,ALMAGUER
20238,8659,CESAR,EL COPEY
68773,1341,SANTANDER,SUCRE
52693,2387,NARIÑO,SAN PABLO
27077,5980,CHOCÓ,BAJO BAUDÓ(PIZARRO)
25402,3403,CUNDINAMARCA,LA VEGA
76111,23909,VALLE DEL CAUCA,BUGA
